rastr,decstr,st_pmra,st_pmraerr1,st_pmralim,st_pmdec,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeplim,pl_rade,pl_radeerr1,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmaglim,st_dist,st_distlim,st_teff,st_tefferr1,st_tefflim,st_logg,st_loggerr1,st_logglim,st_raderr1,st_radlim,tfopwg_disp_APC,tfopwg_disp_CP,tfopwg_disp_FA,tfopwg_disp_FP,tfopwg_disp_KP,tfopwg_disp_PC
20836.97,-71.57738888888889,1.128,0.044,0.0,11.563,0.0,2458339.723,0.00592,0,18.0157,0.00015,0,2.524,0.403,0,610.0,1.66317,0,21.644,,0,7.64364,463.0,10.0814,0.006,0,692.266,0,4709.0,122.0,0,,,0,,0,0.0,0.0,0.0,1.0,0.0,0.0
34205.08,-50.482886111111114,-19.153,0.168,0.0,11.046,0.0,2458545.15,9.2e-05,0,9.6837921,9e-07,0,2.4006056,0.0086986,0,4238.239901,15.838111,0,,,0,3176.310692,1914.698926,5.5324,0.006,0,129.838,0,8598.7,1245.7,0,,,0,,0,0.0,0.0,0.0,0.0,0.0,1.0
30104.31,-50.24055833333333,47.228,0.047,0.0,-6.325,0.0,2460720.808,0.00363,0,14.2628757,3.85e-05,0,6.9350494,0.466316,0,913.2067174,37.2772746,0,2.4765813,0.1510812,0,153.2069421,980.3628831,9.9138,0.006,0,105.677,0,5690.0,129.0,0,4.58,0.08,0,0.0413895,0,0.0,0.0,0.0,1.0,0.0,0.0
40111.99,-28.34686388888889,-87.554,0.073,0.0,12.992,0.0,2460037.869,0.001406,0,3.2834565,4.6e-06,0,1.537,0.709,0,1558.0,185.42,0,2.87648,0.314177,0,161.092,992.0,10.2103,0.006,0,56.3449,0,4272.0,122.7,0,4.6,0.11,0,0.06,0,0.0,0.0,0.0,0.0,0.0,1.0
40111.99,-28.34686388888889,-87.554,0.073,0.0,12.992,0.0,2460032.533,0.002913,0,11.02875,3.54e-05,0,2.715,0.404,0,1694.0,104.432,0,2.76586,0.268927,0,15.0463,548.0,10.2103,0.006,0,56.3449,0,4272.0,122.7,0,4.6,0.11,0,0.06,0,0.0,0.0,0.0,0.0,0.0,1.0
40111.99,-28.34686388888889,-87.554,0.073,0.0,12.992,0.0,2460032.573,0.002567,0,5.0113292,1.2e-05,0,1.024,0.471,0,1210.0,182.035,0,2.52314,0.302798,0,17.1793,567.0,10.2103,0.006,0,56.3449,0,4272.0,122.7,0,4.6,0.11,0,0.06,0,0.0,0.0,0.0,0.0,0.0,1.0
37703.6,-50.29459166666666,30.65,0.054,0.0,-33.906,0.0,2458544.481,0.00412,0,1.01606,0.00034,0,2.843,0.278,0,240.0,0.375709,0,1.20704,0.0989898,0,2784.04,2023.0,7.9059,0.006,0,23.7748,0,4634.0,120.9,0,4.64,0.09,0,0.05,0,0.0,0.0,0.0,1.0,0.0,0.0
21297.38,-64.04116111111111,,,,,,2458365.893,0.00096,0,36.22214,0.00046,0,5.107,0.188,0,7170.0,228.173,0,,,0,,,6.841,0.0,0,,0,,,0,,,0,,0,0.0,0.0,0.0,1.0,0.0,0.0
74989.8,-23.571305555555554,10.426,0.07,0.0,15.62,0.0,2458327.253,0.000586,0,3.547854,0.000149,0,3.494333,0.049205,0,10424.3718,123.359314,0,14.581841,0.196435,0,1212.004376,1504.858953,11.5232,0.008,0,411.211,0,6351.0,,0,4.22896,,0,,0,0.0,0.0,0.0,0.0,1.0,0.0
37399.55,-56.409752777777776,-26.184,2.184,0.0,22.489,0.0,2460054.784,0.000628,0,12.1246519,1.03e-05,0,4.612,0.667,0,7279.0,6484.95,0,17.6729,2.59688,0,207.32,1057.0,9.5706,0.006,0,78.41273,0,4807.6,60.0,0,4.17,0.36,0,0.03,0,0.0,0.0,0.0,1.0,0.0,0.0
33812.13,-66.97399444444444,-23.901,0.042,0.0,3.03,0.0,2459304.838,0.002852,0,5.652623,2.54e-05,0,3.434,0.475,0,1250.0,26.0133,0,8.94354,1.13988,0,2717.06,2011.0,9.7318,0.006,0,270.771,0,6415.4,103.2,0,3.98,0.08,0,0.08,0,0.0,0.0,0.0,1.0,0.0,0.0
38213.16,-41.45836111111111,-15.15,0.072,0.0,6.437,0.0,2459283.829,0.000897,0,5.6643704,1.09e-05,0,3.8087395,0.0887935,0,3491.823297,95.25267,0,14.7738943,0.7471176,0,7657.662151,2385.853649,9.7611,0.006,0,587.196,0,10395.0,320.6,0,4.13,0.07,0,0.109357,0,0.0,0.0,0.0,0.0,0.0,1.0
20947.82,-59.501555555555555,8.9,3.1,0.0,20.7,0.0,2460195.101,0.002821,0,29.0160175,6.47e-05,0,5.345,0.314,0,1389.0,36.0326,0,6.77406,,0,33.2234,,10.0163,0.006,0,219.94,0,6113.1,,0,,,0,,0,0.0,0.0,0.0,1.0,0.0,0.0
32266.02,-48.99942222222222,-4.837,0.063,0.0,4.109,0.0,2460768.617,0.002617,0,3.6404389,8.2e-06,0,2.5339234,0.5744699,0,476.3077321,35.1115139,0,3.7025342,0.1738907,0,9941.226551,2783.098027,9.8174,0.006,0,363.44,0,9810.0,173.7,0,4.43,0.06,0,0.0427739,0,0.0,0.0,0.0,1.0,0.0,0.0
34596.07,-60.41681666666666,-9.506,0.239,0.0,16.897,0.0,2459286.873,0.000437,0,6.0744477,5.9e-06,0,2.4954821,0.0518881,0,5982.521241,93.93912,0,30.9493217,11.697444,0,1487.564434,1583.93989,10.1126,0.006,0,347.556,0,5964.0,128.4,0,3.7,0.09,0,0.151568,0,0.0,0.0,0.0,0.0,0.0,1.0
37888.11,-41.75955277777778,10.992,0.037,0.0,-57.748,0.0,2460037.172,0.001095,0,3.7795212,4e-06,0,2.952,0.158,0,2761.0,60.2474,0,5.98375,0.311897,0,466.528,1294.0,10.2855,0.006,0,184.015,0,5771.0,132.3,0,4.31,0.08,0,0.06,0,0.0,0.0,0.0,0.0,0.0,1.0
35372.44,-62.69352222222223,-19.687,0.07,0.0,10.953,0.0,2459331.125,0.003174,0,1.2025238,6.7e-06,0,1.991,0.052,0,390.0,107.57,0,6.31106,1.99504,0,208477.0,5952.0,9.0211,0.006,0,279.698,0,9158.0,171.4,0,4.32,0.07,0,0.05,0,0.0,0.0,0.0,1.0,0.0,0.0
30829.11,-48.05965277777778,-15.5,1.6,0.0,7.0,0.0,2459273.372,0.002025,0,3.2235985,1.38e-05,0,2.159,0.452,0,680.0,1.13,0,5.51341,,0,2064.8,,8.7157,0.006,0,280.765,0,8904.0,239.9,0,4.09,1.36,0,,0,0.0,0.0,0.0,1.0,0.0,0.0
35925.25,-57.23954722222222,-6.434,0.215,0.0,4.098,0.0,2460031.217,0.00071,0,4.420125,8.5e-06,0,3.956,1.259,0,2466.0,196.3,0,,,0,,,8.5483,0.6,0,2864.34,0,,,0,,,0,,0,1.0,0.0,0.0,0.0,0.0,0.0
76787.93,-57.85106666666667,10.552,0.045,0.0,-10.658,0.0,2460150.609,0.000682,0,4.0872956,2.3e-06,0,5.586113,0.0508755,0,3572.17125,35.689426,0,13.6237732,0.6518233,0,2242.36054,1755.076738,9.8638,0.006,0,316.678,0,6036.0,,0,3.93359,,0,0.102573,0,0.0,0.0,0.0,0.0,1.0,0.0
30867.41,-60.511738888888885,-11.78,0.118,0.0,6.725,0.0,2458520.657,0.00497,0,2.55555,0.00045,0,1.566,0.375,0,340.0,1.37224,0,11.5901,,0,3520.68,2145.0,8.3854,0.007,0,732.432,0,10037.0,123.0,0,,,0,,0,0.0,0.0,0.0,1.0,0.0,0.0
33216.54,-54.80208888888889,-14.189,0.065,0.0,14.261,0.0,2459261.801,0.0004,0,8.30792,0.00037,0,3.228,0.089,0,8350.0,160.238,0,43.1068,4.42399,0,2276.25,1924.0,8.0981,0.006,0,305.034,0,9081.0,173.2,0,3.83,0.07,0,0.09,0,0.0,0.0,0.0,1.0,0.0,0.0
34074.05,-60.66996111111111,-11.595,0.056,0.0,3.139,0.0,2459281.338,0.001287,0,0.758082,7.3e-06,0,1.8184632,0.1306038,0,583.93181,58.10249,0,10.1273702,0.6658212,0,216218.1005,5499.747633,9.718,0.006,0,792.633,0,9917.0,199.6,0,3.75,0.06,0,0.120121,0,0.0,0.0,0.0,0.0,0.0,1.0
30792.56,-51.28579722222222,-9.496,0.051,0.0,14.659,0.0,2459985.77,0.003745,0,1.4415577,7.4e-06,0,2.349,0.682,0,507.0,54.9645,0,3.61078,0.26004,0,16861.8,3174.0,9.5719,0.006,0,208.055,0,6902.0,135.7,0,4.25,0.09,0,0.06,0,0.0,0.0,0.0,1.0,0.0,0.0
36914.65,-57.233608333333336,-14.441,0.073,0.0,6.214,0.0,2460037.195,0.000793,0,1.0085089,9e-07,0,1.642,0.343,0,3051.0,688.931,0,,,0,,,10.0031,0.006,0,494.689,0,5215.2,1166.8,0,,,0,,0,0.0,0.0,0.0,0.0,0.0,1.0
38373.05,-31.488119444444443,-34.609,0.053,0.0,14.667,0.0,2459301.544,0.000611,0,3.7039994,3.7e-06,0,4.277,0.599,0,7590.0,1.22092,0,17.57,0.746573,0,3546.13,2149.0,9.6306,0.006,0,300.696,0,7013.8,299.6,0,4.21,0.44,0,0.08,0,0.0,0.0,0.0,1.0,0.0,0.0
30340.67,-59.092486111111114,-1.536,0.058,0.0,-9.979,0.0,2460177.867,0.001123,0,1.3042553,2e-06,0,1.706,0.213,0,914.0,628.954,0,9.36472,1.30647,0,26944.7,3569.0,10.0119,0.006,0,301.298,0,6762.0,130.2,0,4.11,0.08,0,0.07,0,0.0,0.0,0.0,1.0,0.0,0.0
34699.57,-66.49490277777778,-35.412,0.104,0.0,24.084,0.0,2458544.791,0.00092,0,0.62627,2e-05,0,0.666,0.169,0,1880.0,68.5212,0,5.72162,0.894462,0,3235.57,2101.0,10.2355,0.006,0,134.926,0,5622.0,131.2,0,4.5,0.07,0,0.05,0,0.0,0.0,0.0,1.0,0.0,0.0
32766.65,-53.09607777777778,-10.863,0.096,0.0,7.063,0.0,2458518.376,0.00075,0,0.30412,1e-05,0,0.748,0.1,0,1330.0,3.83107,0,10.417,0.668057,0,280833.0,6413.0,8.802,0.006,0,440.426,0,11892.0,235.8,0,4.14,0.07,0,0.09,0,0.0,0.0,0.0,1.0,0.0,0.0
60904.52,-27.289416666666668,-8.568,0.1,0.0,-5.562,0.0,2459363.821,0.000699,0,2.1805277,2.7e-06,0,2.969175,0.040721,0,16340.13532,426.89557,0,16.808853,0.8821375,0,1770.465054,1654.404068,11.0657,0.006,0,314.995,0,6599.0,200.0,0,4.21017,1.96411,0,0.0635578,0,0.0,0.0,0.0,0.0,1.0,0.0
80989.88,-47.9969,91.976,0.052,0.0,-6.861,0.0,2459084.585,0.00011,0,2.1846669,5e-07,0,2.86528,0.0090748,0,11708.02285,34.928566,0,13.7028527,0.6619751,0,1362.138143,1549.44098,9.4995,0.006,0,137.544,0,5630.0,,0,4.37759,,0,0.0596985,0,0.0,0.0,0.0,0.0,1.0,0.0
57590.94,-27.938205555555555,-8.1,0.102,0.0,-9.639,0.0,2459355.546,0.000257,0,3.7354838,2.1e-06,0,4.142,0.045,0,17030.0,0.271732,0,21.2315,1.19579,0,1292.19,1670.0,11.0261,0.006,0,405.908,0,6650.0,,0,4.1639,,0,0.09,0,0.0,0.0,0.0,0.0,1.0,0.0
9687.83,-70.53725,168.17,2.0,0.0,-56.04,0.0,2458657.737,0.007425,0,21.701669,0.0095323,0,8.2676424,0.5088978,0,211.6567325,25.132692,0,2.3751494,0.6983451,0,52.095,685.2,7.1278,0.006,0,53.19149,0,5625.0,80.0,0,4.438,,0,0.186629,0,0.0,0.0,1.0,0.0,0.0,0.0
81002.47,-74.35343888888889,-63.327,0.046,0.0,-1.942,0.0,2458332.941,0.002642,0,9.139804,0.0001109,0,3.0912936,0.6627002,0,358.4157801,33.721474,0,3.0629855,2.8175755,0,243.011763,1006.993283,9.0197,0.006,0,129.804,0,5958.2,76.0,0,4.34,0.12,0,0.165123,0,0.0,1.0,0.0,0.0,0.0,0.0
69834.51,-32.648583333333335,-18.692,0.065,0.0,-8.192,0.0,2458657.999,0.001553,0,5.742625,0.000621,0,2.860293,0.230499,0,1105.760867,87.92673,0,13.088532,3.636668,0,,,8.8849,0.006,0,263.729,0,5664.0,188.0,0,3.26574,0.355261,0,0.644568,0,0.0,0.0,0.0,1.0,0.0,0.0
72507.4,-53.6825,1.594,0.054,0.0,-15.903,0.0,2460122.7,0.019948,0,15.5077855,0.0002372,0,4.565,0.427,0,513.0,25.4443,0,2.43432,0.142957,0,88.0718,853.0,8.4362,0.006,0,88.4343,0,6122.0,194.0,0,4.30881,0.268555,0,0.05,0,0.0,1.0,0.0,0.0,0.0,0.0
70388.79,-53.46727222222222,108.439,0.074,0.0,-82.632,0.0,2458661.063,0.000867,0,17.4713078,1.76e-05,0,4.4284819,0.0990118,0,1199.754148,28.872627,0,3.5766828,0.2409907,0,53.3700317,689.3568807,8.0888,0.006,0,57.2651,0,5783.54,7.82429,0,4.49925,0.019231,0,0.0546984,0,0.0,1.0,0.0,0.0,0.0,0.0
81422.09,-75.08239444444445,9.716,0.041,0.0,-20.168,0.0,2458326.062,0.001997,0,5.3079507,1.91e-05,0,3.2158594,0.2920944,0,391.3830934,26.766296,0,3.0486928,0.3630359,0,603.2401116,1263.986113,9.6663,0.006,0,168.354,0,6124.3,83.0,0,4.38,0.16,0,0.0633668,0,0.0,0.0,0.0,0.0,0.0,1.0
