,disposition_CONFIRMED,disposition_CANDIDATE,disposition_FALSE POSITIVE,disposition_REFUTED,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,st_rad,st_raderr1,st_radlim,ra,sy_dist,sy_vmag,sy_vmagerr1,sy_kmagerr1,sy_gaiamagerr1
102,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.877183,0.932487,0.06374,0.0,183.7203635,232.1,11.746,0.069,0.021,0.000245
103,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.8964139,0.42,0.03813760000000001,0.0,170.6789065,113.012,15.346,0.08,0.019,0.000678
104,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.89607106,0.524138,0.015688,0.0,170.6789065,113.012,15.346,0.08,0.019,0.000678
105,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.896528,0.242,0.045,0.0,170.6789065,113.012,15.346,0.08,0.019,0.000678
106,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.44433632,0.8,0.0367954,0.0,170.3118083,254.555,12.183,0.057,0.021,0.000536
107,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.444372,0.82,0.05,0.0,170.3118083,254.555,12.183,0.057,0.021,0.000536
108,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.80464,1.1950438,0.10805319999999999,0.0,185.1880932,476.882,12.081,0.046,0.022,0.000236
109,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.28161,0.49,0.03,0.0,179.4915118,126.182,14.796,0.08,0.019,0.00032
110,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.28116,0.541438,0.016101,0.0,179.4915118,126.182,14.796,0.08,0.019,0.00032
111,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.28076,0.399,0.043,0.0,179.4915118,126.182,14.796,0.08,0.019,0.00032
112,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.28138,0.399,0.018,0.0,179.4915118,126.182,14.796,0.08,0.019,0.00032
113,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.28131,0.51,0.023611599999999996,0.0,179.4915118,126.182,14.796,0.08,0.019,0.00032
114,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.58328,0.545,0.054,0.0,167.4476762,203.223,15.375,0.149,0.023,0.000591
115,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.65336,0.545,0.054,0.0,167.4476762,203.223,15.375,0.149,0.023,0.000591
116,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.28081,3.01,0.29,0.0,169.4469645,649.935,11.083,0.015,0.021,0.000647
117,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.28130579,2.66957,0.123682,0.0,169.4469645,649.935,11.083,0.015,0.021,0.000647
118,0.0,1.0,0.0,0.0,1.0,0.0,0.0,440.0,0.85,0.08,0.0,173.6964045,1217.96,12.986,0.103,0.024,0.000417
119,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,0.89,0.36,0.0,170.1327528,229.954,15.84,0.064,0.027,0.000693
120,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.308538952000001,0.6009,0.0627,0.0,170.1327528,229.954,15.84,0.064,0.027,0.000693
121,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.655533,0.751,0.055,0.0,166.0603718,495.707,14.699,0.069,0.03,0.00033
122,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.770388,0.71,0.0996,0.0,177.2343917,252.383,13.595,0.16,0.019,0.000291
123,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.77045,8.15,0.32,0.0,177.2343917,252.383,13.595,0.16,0.019,0.000291
124,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.259669,0.69,0.05,0.0,172.0443891,250.83260000000004,12.92,0.114,0.024,0.0005312
125,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25967056,0.59,0.06999999999999999,0.0,172.0443891,272.7952,12.92,0.114,0.024,0.0004152
126,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.54583,0.34,0.041,0.0,172.0443891,283.6534,12.92,0.114,0.024,0.0003282
127,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.4502,0.717,0.055,0.0,171.517647,340.433,15.23,0.092,0.029,0.000457
128,0.0,1.0,0.0,0.0,1.0,1.0,0.0,35.621,0.898,0.013,0.0,166.8010058,209.071,12.213,0.069,0.025,0.000259
129,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.1333,0.312,0.058,0.0,177.1019945,114.675,16.248,0.119,0.024,0.00081
130,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.9611469,0.64,0.06140000000000001,0.0,169.21486,592.204,15.355,0.092,0.03,0.001509
131,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.96133691104,1.06738,0.06140000000000001,0.0,169.21486,592.204,15.355,0.092,0.03,0.001509
132,0.0,1.0,0.0,0.0,1.0,0.0,0.0,40.7302,0.98,0.17,0.0,175.2407614,835.716,14.647,0.057,0.033,0.000388
133,0.0,1.0,0.0,0.0,1.0,0.0,0.0,40.7362,0.85,0.11,0.0,175.2407614,835.716,14.647,0.057,0.033,0.000388
134,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.10220826,2.04778,0.114633,0.0,172.3857482,235.679,9.9,0.006,0.023,0.000359
135,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.60408352,0.67,0.0372,0.0,178.4363057,370.696,16.736,1.133,0.04,0.000599
136,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.52743,0.257,0.07,0.0,173.8276491,124.872,16.63,0.2,0.027,0.001057
137,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.52725,0.257,0.067,0.0,173.8276491,124.872,16.63,0.2,0.027,0.001057
138,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.52674,0.350987,0.010957,0.0,173.8276491,124.872,16.63,0.2,0.027,0.001057
