,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbperlim,ttv_flag,st_rad,st_radlim,rastr,sy_dist,sy_vmag,sy_vmagerr1,sy_kmagerr1,sy_gaiamagerr1
1006,1,0,0,1.982809,0.0,0,0.291,0.0,0 days 08:42:39.400000,185.731,,,0.043,0.001085
1007,1,0,0,1.9828041248,0.0,0,0.293047,0.0,0 days 08:42:39.400000,185.731,,,0.043,0.001085
1008,1,0,0,1.9828,0.0,0,0.293047,0.0,0 days 08:42:39.400000,185.731,,,0.043,0.001085
1009,1,0,0,29.724674,0.0,0,0.854,0.0,0 days 08:26:03.170000,120.419,11.278,0.013,0.022,0.000324
1010,1,0,0,0.616444,0.0,0,0.750931,0.0,0 days 08:50:51.570000,544.461,15.042,0.103,0.025,0.000523
1011,1,0,0,7.218071,0.0,0,1.67346,0.0,0 days 08:40:26.100000,187.293,9.146,0.003,0.018,0.000203
1012,1,0,0,7.219626,0.0,0,2.55977,0.0,0 days 08:40:20.710000,189.453,7.6921,0.023,0.023,0.000454
1013,1,0,0,7.220537,0.0,0,0.932,0.0,0 days 08:38:48.840000,657.667,14.605,0.08,0.027,0.000291
1014,1,0,0,7.220943,0.0,0,0.292863,0.0,0 days 08:38:39.250000,,19.93,0.2,0.048,0.002538
1015,1,0,0,10.55532,0.0,0,0.623,0.0,0 days 09:04:37.690000,209.555,15.71,0.2,0.018,0.000444
1016,1,0,0,10.555,0.0,0,0.722281,0.0,0 days 09:04:37.690000,209.555,15.71,0.2,0.018,0.000444
1017,1,0,0,10.55632,0.0,0,0.722281,0.0,0 days 09:04:37.690000,209.555,15.71,0.2,0.018,0.000444
1018,1,0,0,1.4835,0.0,0,0.317944,0.0,0 days 09:04:21.060000,162.067,,,0.027,0.001025
1019,1,0,0,6.0162,0.0,0,0.400314,0.0,0 days 08:50:49.800000,186.063,,,0.022,0.000982
1020,1,0,0,1.092845,0.0,0,0.951,0.0,0 days 08:41:10.270000,183.013,11.496,0.046,0.02,0.001206
1021,1,0,0,1.092673,0.0,0,0.783,0.0,0 days 08:40:05.780000,621.412,15.548,0.183,0.027,0.000576
1022,1,0,0,1.092917,0.0,0,1.78223,0.0,0 days 08:39:54.610000,1129.3,12.899,0.092,0.023,0.001787
1023,1,0,0,0.907765,0.0,0,1.21,0.0,0 days 08:15:35.470000,1250.39,14.538,0.103,0.035,0.000622
1024,1,0,0,17.04066667,0.0,0,,,0 days 09:09:31.900000,293.633,11.92,0.046,0.023,0.003273
1025,1,0,0,17.035203,0.0,0,1.51,0.0,0 days 09:09:31.900000,293.633,11.92,0.046,0.023,0.003273
1026,1,0,0,63.84825,0.0,0,0.731598,0.0,0 days 09:04:21.190000,202.801,14.822,0.092,0.02,0.000338
1027,1,0,0,63.8432,0.0,0,0.594,0.0,0 days 09:04:21.190000,202.801,14.822,0.092,0.02,0.000338
1028,1,0,0,8.986648,0.0,0,4.260594,0.0,0 days 08:24:49.180000,322.628,7.34477,0.023,0.024,0.000183
1029,1,0,0,8.986,0.0,0,11.8634,0.0,0 days 08:24:49.180000,322.628,7.34477,0.023,0.024,0.000183
1030,1,0,0,0.279258,0.0,0,0.62,0.0,0 days 08:44:49.780000,163.746,,,0.119,0.003515
1031,1,0,0,32.5795,0.0,0,0.633,0.0,0 days 08:14:37.510000,738.829,17.192,0.046,,0.000688
1032,1,0,0,32.576,0.0,0,0.694468,0.0,0 days 08:14:37.510000,738.829,17.192,0.046,,0.000688
